DEPTH,CALI,GR,ILD,ITT,LLD,LLS,MSFL,NPHI,RHOB,SFL,SP
1547.4696,14.0294,55.1569,0.817,0.1288,0.9002,0.9253,1.0238,0.4098,2.2637,1.0334,38.5875
1547.622,13.95323333,56.4769,0.8127,0.129,0.8673,0.92472,1.0361,0.4252,2.261175,1.04245,38.4827
1547.7744,13.87706667,56.6852,0.8102,0.1292,0.861325,0.92414,1.044433333,0.4427,2.25865,1.0515,38.3012
1547.9268,13.8009,55.8713,0.8112,0.1266,0.85535,0.92356,1.052766667,0.441933333,2.256125,1.06055,38.1198
1548.0792,13.8915,55.6325,0.8364,0.1271,0.849375,0.92298,1.0611,0.441166667,2.2536,1.0696,37.9382
1548.2316,14.0056,56.9066,0.8741,0.129,0.8434,0.9224,1.1271,0.4404,2.2286,1.0924,37.8293
1548.384,14.1799,59.0094,0.9101,0.1298,0.8608,0.965,1.1404,0.4251,2.2365,1.0878,37.8294
1548.5364,14.1969,58.94785,0.9623,0.1289,0.8718,0.9789,1.1118,0.4218,2.2413,1.1048,38.0105
1548.6888,14.0529,58.8863,0.9806,0.1269,0.8742,0.9863,1.1015,0.4157,2.2501,1.1538,38.9152
1548.8412,13.9395,57.7448,0.984,0.125,0.8747,0.9878,1.1871,0.4269,2.2615,1.150366667,39.00448
1548.9936,14.0827,57.6993,0.9812,0.1233,0.8829,0.9822,1.1853,0.4427,2.2699,1.146933333,39.09376
1549.146,14.2259,58.6705,0.9792,0.1238,0.9022,0.9898,1.1835,0.4351,2.2756,1.1435,39.18304
1549.2984,14.3315,59.2569,0.9779,0.1243,0.90028,0.9905,1.1817,0.4419,2.2842,1.140066667,39.27232
1549.4508,14.1554,57.9748,0.9771,0.1275,0.89836,0.9912,1.1648,0.431,2.2719,1.136633333,39.3616
1549.6032,13.7547,57.1074,0.9774,0.1289,0.89644,0.9919,1.1295,0.4017,2.2566,1.1332,38.2878
1549.7556,14.0683,57.0643,0.9596,0.12955,0.89452,0.9926,1.0874,0.41012,2.252,1.0718,37.9141
1549.908,14.2794,56.7173,0.9314,0.1302,0.8926,0.9933,1.0331,0.41854,2.2604,1.0777,38.2878
1550.0604,14.046,56.1928,0.8991,0.1281,0.8434,0.9518,1.0354,0.42696,2.2694,1.1052,38.2387
1550.2128,14.004,56.25185,0.884,0.1266,0.84945,0.9486,1.0739,0.43538,2.2711,1.1131,38.1044
1550.3652,14.1652,56.3109,0.8878,0.1265,0.8555,0.9638,1.0974,0.4438,2.2492,1.1022,37.9701
1550.5176,14.2674,59.5677,0.9002,0.1276,0.8714,0.9681,1.1013,0.442,2.2315,1.0914,37.8358
1550.67,14.1767,59.47404286,0.9005,0.1284,0.8729,0.9658,1.1041,0.4402,2.217,1.0839,37.7015
1550.8224,14.1894,59.38038571,0.9008,0.1271,0.8511,0.9649,1.1102,0.4306,2.2074,1.1049,38.9575
1550.9748,14.2942,59.28672857,0.903,0.1253,0.8441,0.9663,1.127,0.4212,2.2045,1.1261,39.06973333
1551.1272,14.2904,59.19307143,0.9183,0.1242,0.8636,0.9703,1.1571,0.4188,2.2212,1.1474,39.18196667
1551.2796,14.3552,59.09941429,0.9269,0.1242,0.8775,0.9841,1.184,0.4105,2.2187,1.1368,39.2942
1551.432,14.3075,59.00575714,0.9275,0.1245,0.8808,0.9917,1.1827,0.4049,2.2276,1.1199,38.9781
